x,y
1639.416,1593.36
1636.015791,1592.43123
1632.622008,1591.50504
1629.235317,1590.58161
1625.856384,1589.66112
1622.485875,1588.74375
1619.124456,1587.82968
1615.772793,1586.91909
1612.431552,1586.01216
1609.1013990000001,1585.10907
1605.783,1584.21
1602.477021,1583.31513
1599.184128,1582.42464
1595.9049870000001,1581.53871
1592.6402640000001,1580.65752
1589.390625,1579.78125
1586.156736,1578.91008
1582.939263,1578.04419
1579.738872,1577.18376
1576.556229,1576.32897
1573.392,1575.48
1570.2468509999999,1574.63703
1567.121448,1573.80024
1564.016457,1572.96981
1560.932544,1572.14592
1557.870375,1571.32875
1554.830616,1570.51848
1551.813933,1569.71529
1548.820992,1568.91936
1545.852459,1568.13087
1542.909,1567.35
1539.991281,1566.57693
1537.099968,1565.81184
1534.235727,1565.05491
1531.399224,1564.30632
1528.591125,1563.56625
1525.812096,1562.83488
1523.062803,1562.11239
1520.343912,1561.39896
1517.656089,1560.69477
1515.0,1560.0
1515.0,1560.0
1492.279412,1554.081736
1469.836096,1548.206288
1447.667724,1542.372672
1425.771968,1536.579904
1404.1465,1530.827
1382.788992,1525.112976
1361.697116,1519.436848
1340.868544,1513.797632
1320.300948,1508.194344
1299.992,1502.626
1279.939372,1497.091616
1260.140736,1491.590208
1240.593764,1486.120792
1221.296128,1480.682384
1202.2455,1475.274
1183.4395519999998,1469.894656
1164.875956,1464.543368
1146.552384,1459.2191520000001
1128.466508,1453.921024
1110.616,1448.648
1092.998532,1443.399096
1075.611776,1438.173328
1058.4534039999999,1432.969712
1041.521088,1427.787264
1024.8125,1422.625
1008.3253119999999,1417.481936
992.057196,1412.357088
976.005824,1407.249472
960.168868,1402.158104
944.544,1397.082
929.1288920000001,1392.020176
913.921216,1386.971648
898.918644,1381.935432
884.118848,1376.910544
869.5195,1371.896
855.1182719999999,1366.890816
840.9128360000001,1361.894008
826.900864,1356.904592
813.080028,1351.921584
799.4479999999999,1346.944
786.0024520000001,1341.970856
772.741056,1337.001168
759.661484,1332.033952
746.7614080000001,1327.068224
734.0385000000001,1322.103
721.4904319999999,1317.1372959999999
709.1148760000001,1312.170128
696.9095040000001,1307.200512
684.871988,1302.227464
673.0,1297.25
661.2912120000001,1292.267136
649.743296,1287.277888
638.353924,1282.281272
627.1207679999999,1277.276304
616.0414999999999,1272.262
605.1137919999999,1267.237376
594.3353160000001,1262.201448
583.7037440000001,1257.1532320000001
573.216748,1252.091744
562.872,1247.016
552.6671719999999,1241.9250160000001
542.599936,1236.817808
532.667964,1231.6933920000001
522.868928,1226.550784
513.2004999999999,1221.389
503.660352,1216.207056
494.24615600000004,1211.003968
484.9555839999998,1205.778752
475.78630799999996,1200.530424
466.7360000000001,1195.258
457.802332,1189.960496
448.982976,1184.6369280000001
440.27560400000016,1179.2863120000002
431.67788800000017,1173.907664
423.1875,1168.5
414.8021120000001,1163.062336
406.5193959999999,1157.593688
398.33702400000016,1152.0930720000001
390.2526680000001,1146.559504
382.2639999999999,1140.992
374.368692,1135.389576
366.56441600000016,1129.751248
358.8488440000001,1124.076032
351.219648,1118.362944
343.6745000000001,1112.6109999999999
336.21107200000006,1106.819216
328.82703600000013,1100.9866080000002
321.52006400000005,1095.112192
314.2878280000002,1089.194984
307.12799999999993,1083.234
300.03825200000006,1077.2282559999999
293.0162560000001,1071.176768
286.05968399999983,1065.078552
279.16620799999987,1058.932624
272.3335000000002,1052.738
265.55923200000007,1046.493696
258.84107600000016,1040.1987279999998
252.17670399999997,1033.852112
245.56378799999993,1027.452864
239.0,1021.0
239.0,1021.0
234.017041,1015.9826
229.088328,1010.9508
224.214107,1005.9052
219.394624,1000.8464
214.630125,995.775
209.92085600000001,990.6916
205.267063,985.5968
200.668992,980.4912
196.126889,975.3754
191.641,970.25
187.211571,965.1156
182.838848,959.9728
178.523077,954.8222
174.264504,949.6644
170.063375,944.5
165.919936,939.3296
161.834433,934.1538
157.80711200000002,928.9732
153.83821899999998,923.7884
149.928,918.6
146.076701,913.4086
142.284568,908.2148
138.551847,903.0192
134.878784,897.8224
131.265625,892.625
127.712616,887.4276
124.220003,882.2308
120.78803199999999,877.0352
117.41694900000002,871.8414
114.107,866.65
110.858431,861.4616
107.67148799999998,856.2768
104.54641699999999,851.0962
101.483464,845.9204
98.48287500000004,840.75
95.544896,835.5856
92.66977299999999,830.4278
89.857752,825.2772
87.10907900000001,820.1344
84.42399999999998,815.0
81.802761,809.8746
79.245608,804.7588000000001
76.75278700000001,799.6532
74.32454400000003,794.5584
71.96112500000001,789.475
69.66277600000001,784.4036
67.42974300000003,779.3448000000001
65.262272,774.2991999999999
63.160608999999994,769.2674
61.125,764.25
59.15569099999999,759.2475999999999
57.252928,754.2608
55.416957,749.2902
53.64802399999999,744.3363999999999
51.94637499999999,739.4
50.31225599999996,734.4816
48.74591300000003,729.5818
47.247592,724.7012
45.81753900000001,719.8404
44.45599999999999,715.0
